# run=2026-09-11_1400  universe=237  cache_hit=0.0%  price_stale=0/237  fetch_failed=0/237
ticker,ready_to_buy_excluded,quality_flag,quality_score,target_upside,price_above_ma50,estimate_momentum_state,eps_rev_30d,eps_rev_90d,price_stale,_ohlcv_fresh
ADSK,BOTH_ESTIMATES_NEGATIVE,MEDIUM,64.2,49.0%,False,,-0.18,-0.37,False,True
AON,BOTH_ESTIMATES_NEGATIVE,MEDIUM,64.1,25.6%,False,,-4.33,-4.63,False,True
MCD,LOW_QUALITY,LOW,63.3,25.0%,False,,-0.96,-1.70,False,True
IT,NEAR_TARGET,MEDIUM,59.8,6.7%,True,,7.47,7.25,False,True
CME,NEAR_TARGET,HIGH,58.8,2.8%,True,,-0.13,0.03,False,True
T,LOW_QUALITY,LOW,57.9,10.5%,True,,0.41,0.41,False,True
ZTO,BOTH_ESTIMATES_NEGATIVE,HIGH,53.5,35.5%,False,,-2.35,-2.10,False,True
AAPL,ABOVE_TARGET,HIGH,52.4,-2.4%,True,,0.14,-0.91,False,True
THC,NEAR_TARGET,MEDIUM,50.5,6.9%,True,,3.11,18.93,False,True
META,BOTH_ESTIMATES_NEGATIVE,HIGH,49.3,15.6%,True,,-3.28,-2.43,False,True
AEM,NEAR_TARGET,HIGH,46.4,6.9%,True,,-0.03,-13.85,False,True
TMO,LOW_QUALITY,LOW,44.8,5.7%,True,,0.06,0.97,False,True
FFIV,NEAR_TARGET,HIGH,43.3,7.7%,True,,2.19,3.56,False,True
CCL,LOW_QUALITY,LOW,43.2,54.9%,False,,-0.20,1.13,False,True
MSM,NEAR_TARGET,MEDIUM,42.3,7.5%,False,,0.00,10.15,False,True
UNH,LOW_QUALITY,LOW,40.7,23.0%,False,,-0.00,7.50,False,True
XOM,NEAR_TARGET,MEDIUM,40.5,2.4%,True,,2.16,1.37,False,True
DELL,NEAR_TARGET,MEDIUM,40.2,2.4%,True,,26.95,34.39,False,True
FNV,NEAR_TARGET,HIGH,37.2,7.0%,True,,1.58,-6.56,False,True
WPM,SPECULATIVE,SPECULATIVE,37.2,14.8%,True,,-5.11,-14.18,False,True
CEG,SPECULATIVE,SPECULATIVE,35.0,20.6%,True,,-1.93,-1.84,False,True
CVX,NEAR_TARGET,MEDIUM,34.2,2.8%,True,,3.85,6.87,False,True
DAR,LOW_QUALITY,LOW,31.7,21.3%,True,,11.90,15.51,False,True
ITUB,NEAR_TARGET,MEDIUM,30.5,6.6%,True,,0.50,1.21,False,True
VST,LOW_QUALITY,LOW,29.5,47.8%,False,,-6.05,-5.00,False,True
ABBV,NEAR_TARGET,MEDIUM,29.4,6.9%,True,,-0.33,0.39,False,True
RELY,BOTH_ESTIMATES_NEGATIVE,MEDIUM,29.3,47.7%,False,,-2.27,-2.07,False,True
BRK-B,NEAR_TARGET,MEDIUM,20.0,7.9%,True,,3.16,4.16,False,True
MFG,ABOVE_TARGET,MEDIUM,8.4,-8.5%,True,,9.62,6.71,False,True
MUFG,ABOVE_TARGET,MEDIUM,6.6,-9.4%,True,,1.86,8.44,False,True
SMFG,NEAR_TARGET,MEDIUM,6.5,6.1%,True,,3.61,9.13,False,True
