# run=2026-09-25_1722  universe=1142  cache_hit=48.2%  price_stale=60/1142  fetch_failed=11/1142
ticker,quality_flag,target_upside,pct_change_1mo,dist_from_ath,vol_vs_10d_avg,recent_action,eps_rev_30d,eps_rev_90d,turn_state,conviction_count,sector
WDC,HIGH,45.6%,-2.6%,-42.9%,0.76,NORMAL,16.95,29.16,FUNDAMENTALS_READY_PRICE_FALLING,11.00,Technology
TCEHY,HIGH,73.7%,-1.4%,-36.5%,0.09,BASING,0.00,-18.48,WATCH,8.00,Communication Services
CRS,HIGH,57.7%,-18.0%,-36.6%,0.84,FELL-RECOVERED,4.59,6.16,FUNDAMENTALS_READY_PRICE_FALLING,10.00,Industrials
TME,HIGH,57.2%,-4.7%,-68.6%,0.94,NORMAL,0.00,-5.99,WATCH,7.00,Communication Services
HWM,HIGH,45.3%,-13.7%,-25.0%,0.70,NORMAL,1.10,7.25,EARLY_TURN,10.00,Industrials
FUTU,HIGH,43.8%,-12.2%,-44.8%,0.86,NORMAL,1.04,-9.93,WATCH,9.00,Financial Services
ULS,HIGH,46.1%,-12.0%,-38.6%,0.77,NORMAL,0.00,0.84,EARLY_TURN,9.00,Industrials
PNR,HIGH,44.2%,-14.6%,-52.9%,0.59,NORMAL,-0.00,-11.04,WATCH,6.00,Industrials
MU,HIGH,40.0%,15.3%,-13.8%,0.82,NORMAL,2.00,31.82,CONFIRMED,10.00,Technology
RMBS,HIGH,40.6%,16.8%,-39.6%,0.47,NORMAL,0.66,1.95,CONFIRMED,9.00,Technology
NTES,HIGH,41.0%,-6.5%,-27.7%,0.68,FELL-RECOVERED,0.37,0.22,FUNDAMENTALS_READY_PRICE_FALLING,11.00,Communication Services
IDCC,HIGH,38.4%,-2.9%,-19.0%,0.68,NORMAL,0.00,3.07,WATCH,7.00,Technology
HEI-A,HIGH,37.9%,-9.3%,-17.0%,0.62,NORMAL,,,WATCH,5.00,Industrials
CRUS,HIGH,37.6%,8.7%,-33.5%,0.42,NORMAL,0.00,-5.18,WATCH,8.00,Technology
IDXX,HIGH,34.6%,-6.2%,-32.6%,0.65,NORMAL,1.35,1.31,FUNDAMENTALS_READY_PRICE_FALLING,9.00,Healthcare
MPWR,HIGH,34.5%,4.9%,-20.2%,0.58,STRENGTH-HOLLOW,0.22,15.62,WATCH,9.00,Technology
VRT,HIGH,33.5%,-4.0%,-33.3%,0.74,STRENGTH-HOLLOW,0.26,3.62,FUNDAMENTALS_READY_PRICE_FALLING,10.00,Industrials
AMAT,HIGH,32.1%,1.1%,-34.4%,0.75,STRENGTH-HOLLOW,0.62,13.24,FUNDAMENTALS_READY_PRICE_FALLING,9.00,Technology
ODFL,HIGH,32.0%,-13.1%,-31.2%,0.67,NORMAL,0.18,4.92,FUNDAMENTALS_READY_PRICE_FALLING,9.00,Industrials
MLI,HIGH,32.2%,-5.6%,-14.9%,0.52,NORMAL,0.00,0.11,FUNDAMENTALS_READY_PRICE_FALLING,9.00,Industrials
AMZN,HIGH,32.0%,-4.1%,-13.1%,0.88,BASING,-0.00,5.28,WATCH,9.00,Consumer Cyclical
JKHY,HIGH,28.7%,-14.3%,-30.5%,0.43,FELL-RECOVERED,2.01,2.20,FALLING_KNIFE,8.00,Technology
BAM,HIGH,29.0%,-14.3%,-30.4%,0.97,NORMAL,0.00,-0.47,FALLING_KNIFE,7.00,Financial Services
AZN,HIGH,27.4%,0.2%,-21.7%,0.64,NORMAL,0.00,43.98,CONFIRMED,10.00,Healthcare
PTC,HIGH,25.5%,-8.9%,-37.1%,0.35,NORMAL,0.24,3.06,FUNDAMENTALS_READY_PRICE_FALLING,10.00,Technology
