# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
KTOS,SPECULATIVE,SPECULATIVE,117.9%,FUNDAMENTALS_READY_PRICE_FALLING,2.27,-1.45,5.65,-0.01,0.02,43.30,False,-17.5%,Industrials
WING,SPECULATIVE,SPECULATIVE,97.5%,FALLING_KNIFE,-4.33,-0.27,,0.04,0.16,48.80,False,-13.6%,Consumer Cyclical
MTZ,SPECULATIVE,SPECULATIVE,92.9%,FUNDAMENTALS_READY_PRICE_FALLING,7.08,-0.52,89.87,-0.00,0.03,24.90,False,-19.4%,Industrials
FTAI,SPECULATIVE,SPECULATIVE,92.7%,FUNDAMENTALS_READY_PRICE_FALLING,4.07,4.07,865.45,-0.03,0.16,28.30,False,-9.9%,Industrials
ESAB,SPECULATIVE,SPECULATIVE,87.9%,EARLY_TURN,-5.45,-0.60,98.27,0.03,0.06,30.70,False,-15.8%,Industrials
NRG,SPECULATIVE,SPECULATIVE,85.4%,FALLING_KNIFE,-5.17,2.00,483.36,0.04,0.03,23.10,False,-10.1%,Utilities
XPEV,LOW,LOW_QUALITY,85.0%,WATCH,-73.61,-59.51,99.44,,-0.04,21.00,False,-15.3%,Consumer Cyclical
BILI,LOW,LOW_QUALITY,78.0%,EARLY_TURN,-5.21,-5.58,59.78,,0.05,38.00,False,-11.9%,Communication Services
HSAI,SPECULATIVE,SPECULATIVE,73.0%,FALLING_KNIFE,-0.36,0.24,7.88,-0.02,0.15,51.90,False,-14.1%,Consumer Cyclical
KNF,SPECULATIVE,SPECULATIVE,72.0%,FALLING_KNIFE,-3.03,0.40,103.91,-0.00,0.04,26.60,False,-19.7%,Basic Materials
AAON,SPECULATIVE,SPECULATIVE,69.2%,FUNDAMENTALS_READY_PRICE_FALLING,6.27,-0.84,44.74,-0.03,0.08,41.00,False,0.2%,Industrials
CYTK,SPECULATIVE,SPECULATIVE,68.4%,FALLING_KNIFE,6.36,-0.25,,-0.04,0.00,13.30,False,-15.1%,Healthcare
INSM,SPECULATIVE,SPECULATIVE,66.8%,WATCH,100.00,6.48,97.65,-0.02,-0.77,19.70,True,-4.9%,Healthcare
VIAV,LOW,LOW_QUALITY,66.3%,WATCH,6.52,5.75,48.24,0.02,-0.02,37.80,False,-5.0%,Technology
BABA,SPECULATIVE,SPECULATIVE,66.2%,FUNDAMENTALS_READY_PRICE_FALLING,0.75,-1.38,23.93,-0.30,0.07,39.90,False,-6.4%,Consumer Cyclical
BMNR,SPECULATIVE,SPECULATIVE,65.5%,WATCH,69.34,100.00,0.01,-0.03,0.00,46.40,True,21.4%,Financial Services
CPNG,SPECULATIVE,SPECULATIVE,64.2%,WATCH,-0.54,1.23,188.58,-0.01,-0.02,10.20,False,-13.0%,Consumer Cyclical
CHDN,SPECULATIVE,SPECULATIVE,64.1%,FALLING_KNIFE,1.88,-3.76,349.17,0.02,0.14,30.50,False,-14.9%,Consumer Cyclical
PLNT,SPECULATIVE,SPECULATIVE,64.0%,FALLING_KNIFE,1.63,0.15,,0.05,0.18,50.80,False,-24.0%,Consumer Cyclical
BIDU,SPECULATIVE,SPECULATIVE,63.0%,WATCH,-16.10,-8.37,38.26,-0.07,-0.03,34.20,False,-3.4%,Communication Services
RRX,LOW,LOW_QUALITY,63.0%,EARLY_TURN,-3.55,-0.53,68.84,0.04,0.05,40.60,False,-8.3%,Industrials
LEU,SPECULATIVE,SPECULATIVE,62.6%,WATCH,-5.30,0.36,139.28,-0.04,0.10,26.40,False,-18.3%,Energy
WYNN,SPECULATIVE,SPECULATIVE,62.3%,FALLING_KNIFE,-7.65,0.16,,0.06,0.06,35.10,False,-18.9%,Consumer Cyclical
FICO,SPECULATIVE,SPECULATIVE,62.0%,FALLING_KNIFE,-2.61,-0.06,,0.04,0.34,72.30,False,-24.5%,Technology
TTMI,SPECULATIVE,SPECULATIVE,61.7%,CONFIRMED,27.64,0.00,57.03,-0.00,0.07,36.90,True,13.5%,Technology
ORCL,SPECULATIVE,SPECULATIVE,61.4%,WATCH,0.77,0.75,251.72,-0.10,0.26,33.60,True,0.6%,Technology
MKSI,LOW,LOW_QUALITY,59.0%,FUNDAMENTALS_READY_PRICE_FALLING,17.80,13.95,140.09,0.03,0.10,37.00,False,-7.4%,Technology
IPGP,LOW,LOW_QUALITY,59.0%,WATCH,0.00,-1.11,0.76,0.01,0.03,48.00,False,8.4%,Technology
AAOI,SPECULATIVE,SPECULATIVE,58.4%,WATCH,-3.56,-3.56,17.99,-0.10,-0.10,36.80,False,-17.3%,Technology
IREN,SPECULATIVE,SPECULATIVE,58.2%,WATCH,-100.00,-100.00,187.30,-0.22,-0.99,10.80,True,17.7%,Financial Services
CCL,LOW,LOW_QUALITY,57.7%,FALLING_KNIFE,-1.22,-1.14,201.56,0.06,0.11,37.30,False,-15.0%,Consumer Cyclical
JBS,SPECULATIVE,SPECULATIVE,56.8%,WATCH,-22.55,-1.10,283.04,0.02,0.01,22.10,False,-15.7%,Consumer Defensive
CRWV,SPECULATIVE,SPECULATIVE,56.0%,CONFIRMED,-26.03,0.30,1027,-0.18,-0.25,2.10,True,2.8%,Technology
