# SCHD-10 build gauge  cohort_stable=50/87  qualified=10  ready=BUILD-SIGNAL (threshold=50%+)  |  run=2026-09-25_1722  universe=1142  cache_hit=48.2%  price_stale=60/1142  fetch_failed=11/1142
ticker,schd_rank_score,schd10_score,schd10_qualified,ready_to_buy_score,total_return_potential,target_upside,div_yield,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div,trailingPE,forwardPE,peg,turn_state,recent_action,vol_event_read,vol_spike_tag,eps_rev_30d,eps_rev_90d,quality_flag,cyclicality,pct_change_1d,pct_change_5d,pct_change_1mo,vol_vs_10d_avg,vol_vs_3mo_avg,vol_spike_recent,dist_from_ath,price_above_ma50,conviction_count,sector,schd_holding
FNF,67.40,62.20,False,,53.2%,48.2%,4.97,False,0.72,2026-09-15,10.00,False,14.43,7.16,0.85,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,-1.71,-3.40,MEDIUM,MIXED,1.5%,-2.5%,-12.8%,0.95,1.54,False,-35.6%,False,7.00,Financial Services,True
CMCSA,60.10,57.90,False,,38.6%,32.6%,6.02,False,0.42,2026-10-06,,False,7.02,6.13,,FALLING_KNIFE,FELL-RECOVERED,normal,DISTRIB-CONFIRMED-RECENTLY,-1.16,-5.26,MEDIUM,MIXED,-1.0%,-3.6%,-19.4%,1.10,1.20,False,-59.7%,False,5.00,Communication Services,True
AMSF,51.90,46.60,False,,58.5%,51.7%,6.81,False,0.65,2026-09-10,15.00,False,9.48,11.66,,FALLING_KNIFE,GRINDING-DOWN,ELEVATED-DOWN,DISTRIB-CONFIRMED-RECENTLY,-3.20,-3.20,MEDIUM,MIXED,-1.3%,-4.5%,-10.6%,1.31,2.63,False,-63.8%,False,5.00,Financial Services,True
NXST,50.80,61.80,False,,56.8%,52.2%,4.59,False,1.41,2026-08-13,43.00,False,30.70,6.96,0.30,WATCH,FELL-RECOVERED,FAKE-BOUNCE,DISTRIB-CONFIRMED-RECENTLY,0.00,-3.72,SPECULATIVE,MIXED,0.4%,3.6%,-12.6%,0.65,0.74,False,-36.3%,False,7.00,Communication Services,True
BR,49.30,18.40,False,13.4,32.7%,30.3%,2.38,False,0.41,2026-09-02,23.00,False,17.06,14.15,1.78,FALLING_KNIFE,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.00,1.21,MEDIUM,MIXED,0.7%,0.4%,-9.8%,0.74,0.62,False,-39.8%,False,7.00,Technology,True
UNH,47.30,45.10,True,,30.3%,27.9%,2.38,False,0.58,2026-09-13,12.00,False,24.20,16.66,,EARLY_TURN,NORMAL,light-dip,ACCUM-CONFIRMED-RECENTLY,0.78,8.02,LOW,DEFENSIVE,0.4%,-0.1%,-6.1%,0.77,0.72,True,-40.3%,False,7.00,Healthcare,True
F,43.10,14.70,False,,30.8%,26.1%,4.72,False,0.64,2026-08-10,46.00,False,,6.50,,FALLING_KNIFE,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,2.13,6.48,SPECULATIVE,CYCLICAL,0.9%,-3.8%,-8.6%,0.68,0.64,False,-50.9%,False,6.00,Consumer Cyclical,True
RF,41.40,32.40,True,9.6,22.3%,18.5%,3.83,False,0.43,2026-08-31,25.00,False,11.24,9.71,,WATCH,NORMAL,light-dip,ACCUM-CONFIRMED-RECENTLY,0.10,-0.39,MEDIUM,MIXED,1.4%,-3.0%,-10.0%,0.36,0.36,True,-14.9%,False,6.00,Financial Services,True
FITB,39.60,38.60,True,20.5,23.3%,20.2%,3.07,False,0.54,2026-09-29,,False,17.54,10.52,,EARLY_TURN,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,0.05,0.47,MEDIUM,MIXED,1.2%,-1.5%,-5.4%,0.86,0.92,False,-12.4%,False,8.00,Financial Services,True
COLB,39.20,30.20,True,13.7,20.2%,15.2%,4.96,False,0.58,2026-08-27,29.00,False,11.53,9.02,,WATCH,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.12,-2.93,MEDIUM,MIXED,1.6%,-1.0%,-3.5%,0.61,0.62,False,-27.3%,False,6.00,Financial Services,True
